Identificador de la publicación,Enlace permanente,Publicar mensaje,Tipo,Países,Idiomas,Publicado,Segmentación del público,Alcance total de la publicación,Alcance total orgánico de publicación,Alcance pagado de publicación en total,Impresiones totales de la publicación,Impresiones orgánicas de publicación en total,Impresiones pagadas de publicación en total,Usuarios que interactuaron en total,Consumidores de publicaciones en total,Consumo de publicaciones en total,Comentarios negativos en total,Comentarios negativos de los usuarios en total,Impresiones de publicaciones de personas a las que les gustó la página en total,Alcance de publicación de personas a las que les gusta la página en total,Impresiones pagadas totales de publicaciones de personas a las que les gustó la página,Alcance pagado total de publicación de personas a las que les gusta la página,Personas a las que les gustó la página e interactuaron con tu publicación en total,Reproducciones orgánicas hasta el 95% en total,Reproducciones orgánicas hasta el 95% en total,Reproducciones pagadas hasta el 95% en total,Reproducciones pagadas hasta el 95% en total,Total de reproducciones orgánicas del video,Total de reproducciones orgánicas del video,Total de reproducciones pagadas del video,Total de reproducciones pagadas del video,Tiempo promedio de reproducción del video en total,Duración del video total,Personas que están hablando de esto (publicación) por tipo de acción en total - share,Personas que están hablando de esto (publicación) por tipo de acción en total - like,Personas que están hablando de esto (publicación) por tipo de acción en total - comment,Historias de publicaciones por tipo de acción en total - share,Historias de publicaciones por tipo de acción en total - like,Historias de publicaciones por tipo de acción en total - comment,Consumidores de publicaciones por tipo en total - other clicks,Consumidores de publicaciones por tipo en total - photo view,Consumidores de publicaciones por tipo en total - video play,Consumidores de publicaciones por tipo en total - link clicks,Consumo de publicaciones por tipo en total - other clicks,Consumo de publicaciones por tipo en total - photo view,Consumo de publicaciones por tipo en total - video play,Consumo de publicaciones por tipo en total - link clicks,Comentarios negativos de los usuarios por tipo en total - hide_all_clicks,Comentarios negativos de los usuarios por tipo en total - hide_clicks,Comentarios negativos de los usuarios por tipo en total - report_spam_clicks,Comentarios negativos en total - hide_all_clicks,Comentarios negativos en total - hide_clicks,Comentarios negativos en total - report_spam_clicks
445402092491335_526523837712493,https://www.facebook.com/AeropostaleEcu/posts/526523837712493,Rebajas 🙌 En toda la mercadería y en todo el país! 😮 🏃‍♂️🏃‍♀️ #AeroEcuador,Photo,,,27, ,39540,4487,35172,50122,6209,42911,1220,579,685,0,0,25770,18075,19492,14316,503,0,0,0,0,0,0,0,0,0,0,12,669,20,12,672,28,385,213,,,436,249,,,,,,,,
445402092491335_524861524545391,https://www.facebook.com/AeropostaleEcu/videos/524861524545391/,¡Feliz navidad!  Pásalo bien con tu familia y amigos. Te lo desea Aéropostale #AéroEcuador #MerryChristmas 🎄,Video,,,23, ,1890,1668,0,2775,2476,0,78,51,61,0,0,2484,1657,0,0,46,95,98,0,0,561,582,0,0,3002,12000,3,29,,3,29,,24,,34,,27,,34,,,,,,,
445402092491335_524815877883289,https://www.facebook.com/AeropostaleEcu/posts/524815877883289,se acerca el gran día #AeroEcuador #MerryChristmas 🎅,Photo,,,22, ,4578,2382,2279,5618,3251,2331,163,49,53,0,0,4406,3461,1198,1162,72,0,0,0,0,0,0,0,0,0,0,1,120,1,1,120,1,32,19,,,34,19,,,,,,,,
445402092491335_524470757917801,https://www.facebook.com/AeropostaleEcu/posts/524470757917801,✨Look fashion al estilo holiday #FreeToBe #merrychristmas 👌,Photo,,,21, ,169147,3696,166890,308011,5116,300830,8785,4267,5487,1,1,86544,33113,81415,30944,2444,0,0,0,0,0,0,0,0,0,0,25,4798,27,26,4798,35,1833,3023,,,2058,3429,,,1,,,1,,
445402092491335_524106607954216,https://www.facebook.com/AeropostaleEcu/posts/524106607954216,presenta tu mejor versión de ti #MerryChristmas #InAero 🎅,Photo,,,20, ,25129,2559,22831,32461,3393,28782,998,285,307,0,0,15245,11143,11884,9054,261,0,0,0,0,0,0,0,0,0,0,9,746,3,10,747,4,85,202,,,86,221,,,,,,,,
445402092491335_523705397994337,https://www.facebook.com/AeropostaleEcu/posts/523705397994337,Se agotaron tus excusas para no vestirte bien esta navidad. ✨#MerryChristmas #AeroEcuador,Photo,,,19, ,15204,3264,12297,20720,4293,15937,500,174,192,1,1,13286,9377,8970,6710,220,0,0,0,0,0,0,0,0,0,0,4,347,8,4,352,11,94,84,,,102,90,,,1,,,1,,
445402092491335_523305361367674,https://www.facebook.com/AeropostaleEcu/posts/523305361367674,¿quién dijo que alocarse está mal? #MerryChristmas #InAero,Photo,,,18, ,14766,3067,12270,17606,3770,13772,741,166,185,0,0,9639,7638,5903,5237,195,0,0,0,0,0,0,0,0,0,0,4,579,3,4,583,4,63,105,,,69,116,,,,,,,,
445402092491335_520209595010584,https://www.facebook.com/AeropostaleEcu/posts/520209595010584,sorprende a quién más quieres #MerryChristmas #FreeToBe,Photo,,,17, ,18505,2545,16033,26489,3531,22824,738,144,172,3,3,14684,9617,11172,7463,181,0,0,0,0,0,0,0,0,0,0,8,613,,9,628,,59,93,,,65,107,,,3,,,3,,
445402092491335_521943488170528,https://www.facebook.com/AeropostaleEcu/posts/521943488170528,"Llegó la nueva colección holiday #AeroEcuador en todos nuestros locales, ¡visítanos!",Photo,,,15, ,20764,2776,18403,32623,3799,28453,706,521,621,1,1,23193,13560,19328,11429,386,0,0,0,0,0,0,0,0,0,0,5,209,3,6,212,3,157,392,,,172,449,,,1,,,1,,
445402092491335_520163388348538,https://www.facebook.com/AeropostaleEcu/posts/520163388348538,Siente la navidad con la playlist Spotify de Sabrina Carpenter​ ✨ preparamos una selección especial para nuestros fans » http://bit.ly/AeroSc12 #MerryChristmas #InAero,Photo,,,13, ,14600,2619,12171,20910,3554,16929,540,194,262,0,0,14130,9531,10542,7264,238,0,0,0,0,0,0,0,0,0,0,6,366,3,7,385,3,106,92,,12,131,118,,13,,,,,,
445402092491335_520147448350132,https://www.facebook.com/AeropostaleEcu/posts/520147448350132,tu look a tu alcance #AeroEcuador #MerryChristmas,Photo,,,11, ,18816,3355,16434,28515,4538,23839,613,273,310,1,1,20439,12693,15927,10210,411,0,0,0,0,0,0,0,0,0,0,3,379,7,3,383,13,192,92,,,207,103,,,1,,,1,,
445402092491335_518858668479010,https://www.facebook.com/AeropostaleEcu/videos/518858668479010/,¡Feliz Navidad! Entramos en el clima navideño con todos nuestros fans y colaboradores #MerryChristmas,Video,,,9, ,8263,2022,6321,9146,2794,6311,99,84,94,0,0,3567,2656,948,883,32,34,39,119,120,417,457,1546,1546,3120,30742,2,23,,2,23,,37,,53,,40,,54,,,,,,,
445402092491335_518412435190300,https://www.facebook.com/AeropostaleEcu/posts/518412435190300,"entrégate #InAero

Embajadora: 
Maria Karla Gomez",Photo,,,7, ,5219,5202,0,6924,6900,0,338,251,313,1,1,6855,5197,0,0,320,0,0,0,0,0,0,0,0,0,0,,110,4,,110,4,201,81,,,230,83,,,,1,,,1,
445402092491335_517376358627241,https://www.facebook.com/AeropostaleEcu/posts/517376358627241,"vive la vida con alegría #InAero

Embajadora:
@Janetribando",Photo,,,5, ,55832,2674,53305,84502,3817,79323,2811,1148,1374,0,0,31782,16958,27875,15180,820,0,0,0,0,0,0,0,0,0,0,21,1715,31,22,1715,41,457,744,,,511,863,,,,,,,,
445402092491335_516910278673849,https://www.facebook.com/AeropostaleEcu/posts/516910278673849,Síguenos en nuestra nueva cuenta oficial de Instagram: instagram.com/AeropostaleEcu,Photo,,,4, ,35700,3182,32774,40800,4284,36356,906,497,568,0,0,18300,14434,14036,11660,445,0,0,0,0,0,0,0,0,0,0,1,450,9,1,462,10,250,238,,27,286,253,,29,,,,,,
445402092491335_515619835469560,https://www.facebook.com/AeropostaleEcu/posts/515619835469560,"bff #InAero

Embajadoras
Angelica Salem
Janet Ribando
Efezet",Photo,,,3, ,79023,67440,12443,111993,97276,14586,1378,709,826,132,140,101091,70145,3850,3150,611,0,0,0,0,0,0,0,0,0,0,,676,1,,684,1,470,260,,,547,279,,,110,30,,111,28,
445402092491335_515619502136260,https://www.facebook.com/AeropostaleEcu/posts/515619502136260,visita nuestros 9 locales en todo el país #AeroEcuador,Photo,,,1 , ,54649,43595,11064,75435,62289,12551,1205,706,887,161,180,66859,47747,4718,3893,743,0,0,0,0,0,0,0,0,0,0,6,512,8,6,512,16,581,136,,,742,145,,,133,46,1,126,44,1
