Descripción,Identificador de la publicación,Enlace permanente,Publicar mensaje,Tipo,Países,Idiomas,Publicado,Segmentación del público,share,like,comment
Total: número de personas únicas que crearon una historia sobre la publicación de la página al interactuar con ella (usuarios únicos).,445402092491335_526523837712493,https://www.facebook.com/AeropostaleEcu/posts/526523837712493,Rebajas 🙌 En toda la mercadería y en todo el país! 😮 🏃‍♂️🏃‍♀️ #AeroEcuador,Photo,,,27, ,12,669,20
,445402092491335_524861524545391,https://www.facebook.com/AeropostaleEcu/videos/524861524545391/,¡Feliz navidad!  Pásalo bien con tu familia y amigos. Te lo desea Aéropostale #AéroEcuador #MerryChristmas 🎄,Video,,,23, ,3,29,
,445402092491335_524815877883289,https://www.facebook.com/AeropostaleEcu/posts/524815877883289,se acerca el gran día #AeroEcuador #MerryChristmas 🎅,Photo,,,22, ,1,120,1
,445402092491335_524470757917801,https://www.facebook.com/AeropostaleEcu/posts/524470757917801,✨Look fashion al estilo holiday #FreeToBe #merrychristmas 👌,Photo,,,21, ,25,4798,27
,445402092491335_524106607954216,https://www.facebook.com/AeropostaleEcu/posts/524106607954216,presenta tu mejor versión de ti #MerryChristmas #InAero 🎅,Photo,,,20, ,9,746,3
,445402092491335_523705397994337,https://www.facebook.com/AeropostaleEcu/posts/523705397994337,Se agotaron tus excusas para no vestirte bien esta navidad. ✨#MerryChristmas #AeroEcuador,Photo,,,19, ,4,347,8
,445402092491335_523305361367674,https://www.facebook.com/AeropostaleEcu/posts/523305361367674,¿quién dijo que alocarse está mal? #MerryChristmas #InAero,Photo,,,18, ,4,579,3
,445402092491335_520209595010584,https://www.facebook.com/AeropostaleEcu/posts/520209595010584,sorprende a quién más quieres #MerryChristmas #FreeToBe,Photo,,,17, ,8,613,
,445402092491335_521943488170528,https://www.facebook.com/AeropostaleEcu/posts/521943488170528,"Llegó la nueva colección holiday #AeroEcuador en todos nuestros locales, ¡visítanos!",Photo,,,15, ,5,209,3
,445402092491335_520163388348538,https://www.facebook.com/AeropostaleEcu/posts/520163388348538,Siente la navidad con la playlist Spotify de Sabrina Carpenter​ ✨ preparamos una selección especial para nuestros fans » http://bit.ly/AeroSc12 #MerryChristmas #InAero,Photo,,,13, ,6,366,3
,445402092491335_520147448350132,https://www.facebook.com/AeropostaleEcu/posts/520147448350132,tu look a tu alcance #AeroEcuador #MerryChristmas,Photo,,,11, ,3,379,7
,445402092491335_518858668479010,https://www.facebook.com/AeropostaleEcu/videos/518858668479010/,¡Feliz Navidad! Entramos en el clima navideño con todos nuestros fans y colaboradores #MerryChristmas,Video,,,9, ,2,23,
,445402092491335_518412435190300,https://www.facebook.com/AeropostaleEcu/posts/518412435190300,entrégate #InAero  Embajadora:  Maria Karla Gomez,Photo,,,7, ,,110,4
,445402092491335_517376358627241,https://www.facebook.com/AeropostaleEcu/posts/517376358627241,vive la vida con alegría #InAero  Embajadora: @Janetribando,Photo,,,5, ,21,1715,31
,445402092491335_516910278673849,https://www.facebook.com/AeropostaleEcu/posts/516910278673849,Síguenos en nuestra nueva cuenta oficial de Instagram: instagram.com/AeropostaleEcu,Photo,,,4, ,1,450,9
,445402092491335_515619835469560,https://www.facebook.com/AeropostaleEcu/posts/515619835469560,bff #InAero  Embajadoras Angelica Salem Janet Ribando Efezet,Photo,,,3, ,,676,1
,445402092491335_515619502136260,https://www.facebook.com/AeropostaleEcu/posts/515619502136260,visita nuestros 9 locales en todo el país #AeroEcuador,Photo,,,1, ,6,512,8
